,Formula_Index,P_Value
950,281.0,4.6
951,422.0,4.6
952,405.0,4.5
953,379.0,4.5
954,386.0,6.6
955,315.0,6.6
956,336.0,4.1
957,405.0,4.1
958,535.0,5.1
959,517.0,5.1
960,434.0,9.0
961,502.0,9.0
962,480.0,9.0
963,511.0,9.0
964,512.0,6.6
965,533.0,6.6
966,526.0,6.6
967,508.0,6.6
968,570.0,5.2
969,533.0,5.2
970,553.0,5.1
971,411.0,5.1
972,537.0,5.6
973,495.0,5.6
974,518.0,5.2
975,515.0,5.2
976,553.0,5.2
977,510.0,5.2
978,373.0,4.2
979,417.0,4.2
980,233.0,5.0
981,277.0,5.0
982,404.0,4.0
983,449.0,4.0
984,431.0,5.4
985,440.0,5.4
986,407.0,4.3
987,388.0,4.3
988,325.0,4.5
989,355.0,4.5
990,221.0,4.2
991,312.0,4.2
992,429.0,5.0
993,329.0,5.0
994,508.0,4.6
995,561.0,4.4
996,468.0,4.4
997,547.0,5.2
998,506.0,5.2
999,512.0,5.0
1000,500.0,5.0
1001,548.0,4.6
1002,520.0,4.6
1003,474.0,5.5
1004,550.0,5.5
1005,457.0,4.5
1006,502.0,4.5
1007,521.0,4.9
1008,497.0,4.9
1009,526.0,4.3
1010,525.0,4.3
1011,385.0,4.8
1012,559.0,4.8
1013,550.0,5.2
1014,486.0,5.2
1015,384.0,8.2
1016,221.0,8.2
1017,425.0,4.8
1018,370.0,4.8
1019,381.0,6.0
1020,280.0,6.0
1021,371.0,4.4
1022,289.0,4.4
1023,341.0,5.2
1024,377.0,5.2
1025,230.0,8.8
1026,408.0,8.8
1027,335.0,5.3
1028,347.0,5.3
1029,355.0,4.7
1030,511.0,4.7
1031,436.0,5.5
1032,414.0,5.5
1033,311.0,6.5
1034,355.0,6.5
1035,431.0,5.6
1036,397.0,5.6
1037,354.0,5.0
1038,321.0,5.0
1039,420.0,5.1
1040,295.0,5.1
1041,382.0,5.5
1042,364.0,5.5
1043,293.0,5.4
1044,328.0,5.4
1045,413.0,5.4
1046,366.0,5.4
1047,355.0,5.5
1048,324.0,5.5
1049,263.0,5.0
1050,278.0,5.0
1051,399.0,4.8
1052,407.0,5.2
1053,555.0,4.2
1054,471.0,4.2
1055,462.0,5.6
1056,528.0,4.2
1057,486.0,4.8
1058,307.0,4.5
1059,347.0,4.5
1060,310.0,5.0
1061,397.0,5.0
1062,262.5,5.5
1063,365.0,5.5
